deviation_factor,midpoint
1.62,"(30, 14)"
1.62,"(31, 14)"
1.67,"(9, 13)"
1.67,"(10, 13)"
1.67,"(11, 13)"
1.67,"(12, 13)"
1.67,"(13, 13)"
1.67,"(14, 13)"
1.67,"(15, 13)"
1.67,"(16, 13)"
1.67,"(17, 13)"
1.67,"(18, 13)"
1.67,"(19, 13)"
1.67,"(20, 13)"
1.67,"(21, 13)"
1.67,"(22, 13)"
1.67,"(23, 13)"
1.67,"(24, 13)"
1.67,"(25, 13)"
1.67,"(26, 13)"
1.67,"(27, 13)"
1.67,"(28, 13)"
1.67,"(29, 13)"
1.67,"(30, 13)"
1.67,"(31, 13)"
